COD_HOSPITAL,year,n_cases,total_bed_days,mean_los,mean_drg_weight,complexity_weighted_cases,total_transfers,aggregate_caei,episode_caei_mean
113100,2019,218,2387.0,10.94954128440367,1.403708256880734,306.0084,308,7.800439465060436,8.78040019832928
113100,2020,146,1709.0,11.705479452054794,1.4680034246575342,214.3285,189,7.973741242998481,9.381992004511671
113100,2021,370,4546.0,12.286486486486487,1.5393481081081082,569.5588,286,7.981616647833375,8.247109668804809
113100,2022,511,7538.0,14.75146771037182,1.5364068493150687,785.1039000000001,298,9.601276977480305,10.92684732638618
114101,2019,443,5544.0,12.514672686230249,3.2550489841986456,1441.9867,453,3.8446956549599243,3.691882324711744
114101,2020,379,3942.0,10.401055408970976,3.44204327176781,1304.5344,298,3.021767766338703,3.020874689571697
114101,2021,441,5018.0,11.378684807256235,3.6266650793650794,1599.3593,440,3.1375063752091226,2.907298960252171
114101,2022,495,6070.0,12.262626262626263,3.4808513131313132,1723.0214,418,3.52288137570433,3.1785661393440128
114105,2019,81,987.0,12.185185185185185,1.4701814814814815,119.0847,32,8.28821838573721,9.50191096023533
114105,2020,59,869.0,14.728813559322035,1.907628813559322,112.5501,22,7.721006023095493,9.435348926810548
114105,2021,91,1154.0,12.68131868131868,1.9023054945054947,173.1098,34,6.66628925687627,8.366513051762812
114105,2022,38,541.0,14.236842105263158,2.1331026315789474,81.0579,18,6.67424149897789,8.163915357196714
115100,2019,78,949.0,12.166666666666666,1.448548717948718,112.9868,43,8.399211235294741,9.280794408965722
115100,2020,116,1131.0,9.75,1.7257224137931033,200.1838,70,5.649807826607348,6.400672450359975
115100,2021,83,1028.0,12.385542168674698,1.889112048192771,156.7963,70,6.556277157050262,7.547463317028163
115100,2022,75,1315.0,17.533333333333335,1.9809973333333335,148.5748,56,8.850760694276554,11.290839597571287
116100,2019,356,3589.0,10.081460674157304,0.982052808988764,349.6108,27,10.265701173991193,10.686609410788517
116100,2020,281,3086.0,10.982206405693951,1.3553448398576513,380.8519,43,8.10288723779506,9.116302575202983
116100,2021,232,2947.0,12.702586206896552,1.4031797413793106,325.53770000000003,31,9.052714939007062,11.139678904236066
116100,2022,255,4150.0,16.274509803921568,1.4751211764705883,376.15590000000003,88,11.032659596725718,11.760760021028128
116105,2019,678,8229.0,12.13716814159292,1.4577665191740412,988.3657,265,8.325865618363729,9.17647219678989
116105,2020,555,8137.0,14.661261261261261,1.5387428828828829,854.0023,205,9.528077383398148,10.432191928687317
116105,2021,551,8725.0,15.834845735027223,1.6274194192377496,896.7081000000001,234,9.730033664243692,10.742740931762427
116105,2022,709,8760.0,12.355430183356841,1.5006413258110014,1063.9547,234,8.233433246735036,8.819095895007258
118100,2019,2364,22710.0,9.606598984771574,1.8885254230118445,4464.4741,1378,5.086825344109399,5.897897717734006
118100,2020,1828,19509.0,10.672319474835886,2.138262636761488,3908.7441,1188,4.991117223560376,6.4070194262490965
118100,2021,2225,23576.0,10.595955056179776,2.1811798651685397,4853.1252,1435,4.857900636892697,5.814310227389802
118100,2022,2104,24424.0,11.608365019011407,2.253952946768061,4742.317,1296,5.150225090393578,6.824894154060273
119100,2019,639,5382.0,8.422535211267606,2.6088388106416276,1667.048,837,3.2284613280481427,4.09507994028006
119100,2020,354,2698.0,7.621468926553672,2.4724850282485873,875.2597,318,3.0825136813679417,3.8577526980895374
119100,2021,345,2772.0,8.034782608695652,2.7180872463768115,937.7401,321,2.956042937696703,4.286772217915137
119100,2022,666,7051.0,10.587087087087086,2.5189384384384383,1677.613,797,4.202995565723441,6.0015172887905175
120101,2019,52,276.0,5.3076923076923075,1.1986192307692307,62.3282,5,4.428172159632398,4.642515094883451
120101,2020,186,1979.0,10.63978494623656,1.506577419354839,280.2234,37,7.062222498192513,7.548315694751841
120101,2021,310,2966.0,9.567741935483872,1.4417251612903226,446.9348,29,6.636314737630634,7.199123437962399
121109,2019,1043,13163.0,12.62032598274209,2.514792042186002,2622.9281,1251,5.018437219075886,5.567833723238424
121109,2020,445,6877.0,15.453932584269664,3.023520224719101,1345.4665,698,5.111238369740161,6.215798454746369
121109,2021,362,10609.0,29.306629834254142,3.5952842541436465,1301.4929,792,8.151408278908013,12.320863379202244
121109,2022,598,16696.0,27.91973244147157,3.603741973244147,2155.0377,1245,7.747428270048362,11.05440489775543
121110,2019,453,571.0,1.260485651214128,0.9518891832229579,431.20579999999995,0,1.3241936912722418,1.569995965051099
121110,2020,51,51.0,1.0,1.5865156862745098,80.9123,0,0.6303120786332856,0.6497586274150268
121110,2022,12,96.0,8.0,1.0050666666666668,12.0608,0,7.959671000265321,4.993949376930209
121114,2019,48,48.0,1.0,0.5791,27.796799999999998,0,1.7268174753928511,1.7268174753928511
121117,2019,276,672.0,2.4347826086956523,0.6660576086956521,183.8319,2,3.655513542535328,2.787706136350548
121117,2020,96,981.0,10.21875,1.1187520833333333,107.4002,0,9.134061202865544,9.110548981605708
121117,2021,46,859.0,18.67391304347826,1.1915695652173914,54.812200000000004,1,15.671693528083162,15.85478246038424
121117,2022,46,823.0,17.891304347826086,1.1881913043478263,54.656800000000004,0,15.057595761186162,16.14805968467743
122100,2019,15,23.0,1.5333333333333334,1.02646,15.396899999999999,2,1.4938071949548288,2.439719731843959
123100,2020,10,329.0,32.9,1.86302,18.6302,5,17.659499092870714,18.4392460617891
123100,2021,480,4439.0,9.247916666666667,1.3501527083333333,648.0733,151,6.849533841310852,7.501550834036723
123100,2022,751,5680.0,7.563249001331558,1.402682689747004,1053.4147,106,5.391988549238966,5.830097462775576
124105,2019,66,219.0,3.3181818181818183,1.5454696969696968,102.00099999999999,7,2.1470377741394695,3.253407694329916
124105,2020,107,1654.0,15.457943925233645,1.5091065420560748,161.4744,68,10.243109743711697,12.110181862396729
124105,2021,236,5016.0,21.25423728813559,1.659178813559322,391.5662,173,12.810094436138767,13.959575334622885
124105,2022,194,3126.0,16.11340206185567,1.6773247422680413,325.401,77,9.606608461559736,10.440605902216253
125100,2019,21,74.0,3.5238095238095237,1.6575142857142857,34.8078,4,2.125960273272083,2.0136125253895507
125100,2020,32,84.0,2.625,1.800728125,57.6233,7,1.4577436557781314,1.680922720938043
125100,2021,13,40.0,3.076923076923077,1.7466615384615383,22.706599999999998,3,1.7616023535007446,1.702973621401909
125100,2022,21,34.0,1.619047619047619,1.8261285714285715,38.3487,2,0.8866011103375081,0.8082324726211513
126100,2019,300,4597.0,15.323333333333334,1.5800696666666667,474.0209,148,9.697884629137661,10.311389640341043
126100,2020,194,3061.0,15.778350515463918,1.489037113402062,288.8732,92,10.596344693796448,10.245533440286872
126100,2021,239,4165.0,17.426778242677823,1.4983251046025103,358.0997,83,11.63083912106042,10.831586698779308
126100,2022,253,4576.0,18.08695652173913,1.4045296442687747,355.346,105,12.877589729446791,12.57468327034192
129100,2020,19,104.0,5.473684210526316,1.5395842105263158,29.2521,3,3.5553003032260935,4.630097517398821
129100,2021,48,489.0,10.1875,1.7791708333333334,85.4002,35,5.725981906365559,6.136943797532457
129100,2022,30,336.0,11.2,1.72116,51.6348,18,6.507239303725394,8.677335959070378
129106,2019,46,122.0,2.652173913043478,0.9185043478260869,42.2512,5,2.8874919528912786,2.920202745194787
129106,2020,13,72.0,5.538461538461538,1.196646153846154,15.5564,4,4.628320176904682,3.4853612644573704
129106,2021,13,37.0,2.8461538461538463,1.1648615384615384,15.1432,0,2.4433409054889323,2.490829928970072
